record_id,organization_name,site_name,site_type,contact_email,address,city,state,zip_code,full_address,latitude,longitude,geocoded,same_hours_everyday,opening_time,closing_time,full_schedule,days_open,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,has_charging,has_pet_services,has_showers,has_storage_for_belongings,has_food,has_internet,services_offered,special_closure_dates,review_status,last_updated,data_source
1,University Park Public Library,University Park Public Library,1,,8383 Preston Center Plaza,Dallas ,43,75225,"8383 Preston Center Plaza, Dallas , 43 75225",32.864097,-96.803245,True,True,09:00,17:00,"Monday, Tuesday, Wednesday, Thursday, Friday: 9:00 am - 5:00 pm","Monday, Tuesday, Wednesday, Thursday, Friday",09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,,,False,False,False,False,False,False,,"2026-05-13, 2026-06-25, 2026-07-03, , , , , , , ",Accepted,2025-12-01T03:05:27.925893,preseason
2,Vickery Park Branch Library,Vickery Park Branch Library,1,,8333 Park Ln,Dallas,43,75231,"8333 Park Ln, Dallas, 43 75231",32.871914,-96.761579,True,True,,,,"Monday, Wednesday, Friday",,,,,,,,False,False,False,False,False,False,,", , , , , , , , , ",Accepted,2025-12-01T03:05:27.925893,preseason
3,Lakewood Branch Library,Lakewood Branch Library,2,,6121 Worth St ,Dallas,43,75214,"6121 Worth St , Dallas, 43 75214",32.810231,-96.753456,True,True,07:00,19:00,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 7:00 am - 7:00 pm","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,False,False,False,False,False,False,,"2026-06-01, 2026-06-02, 2026-06-03, 2026-06-04, 2026-06-05, , , , , ",Accepted,2025-12-01T03:05:27.925893,preseason
4,Oak Lawn Branch Library,Oak Lawn Branch Library,3,,4100 Cedar Springs Rd,Dallas,43,75219,"4100 Cedar Springs Rd, Dallas, 43 75219",32.812476,-96.812472,True,True,,,,"Friday, Saturday, Sunday",,,,,,,,False,False,False,False,False,False,,", , , , , , , , , ",Accepted,2025-12-01T03:05:27.925893,preseason
5,Grauwyler Park Branch Library,Grauwyler Park Branch Library,4,,2146 Gilford St,Dallas,43,75235,"2146 Gilford St, Dallas, 43 75235",32.83379,-96.8583,True,True,00:00,23:59,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 12:00 am - 11:59 pm","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,00:00 - 23:59,False,False,False,False,False,False,,", , , , , , , , , ",Accepted,2025-12-01T03:05:27.925893,preseason
6,"Martin Luther King, Jr. Community Center","Martin Luther King, Jr. Community Center",1,mmcalend@asu.edu,2922 Martin Luther King Jr Blvd,Dallas,43,75215,"2922 Martin Luther King Jr Blvd, Dallas, 43 75215",32.769449,-96.766018,True,True,08:30,19:30,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 8:30 am - 7:30 pm","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",08:30 - 19:30,08:30 - 19:30,08:30 - 19:30,08:30 - 19:30,08:30 - 19:30,08:30 - 19:30,08:30 - 19:30,False,False,False,False,False,False,,"2026-05-18, 2026-05-19, 2026-05-19, 2026-05-19, , , , , , ",Accepted,2025-12-01T03:05:27.925893,preseason
7,Arcadia Recreation Center,Arcadia Recreation Center,2,mmcalend@asu.edu,5420 N. Arcadia Dr.,Dallas,43,75211,"5420 N. Arcadia Dr., Dallas, 43 75211",32.744293,-96.915216,True,True,09:00,12:00,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 9:00 am - 12:00 pm","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,False,False,False,False,False,False,,"2026-08-10, 2026-08-11, 2026-08-12, 2026-08-13, 2026-08-14, , , , , ",Accepted,2025-12-01T03:05:27.925893,preseason
8,Fellowship Church,Fellowship Church,1,mmcalend@asu.edu,2809 Ross Ave,Dallas,43,75201,"2809 Ross Ave, Dallas, 43 75201",,,False,True,08:00,20:00,"Monday, Tuesday, Thursday, Friday: 8:00 am - 8:00 pm","Monday, Tuesday, Thursday, Friday",08:00 - 20:00,08:00 - 20:00,,08:00 - 20:00,08:00 - 20:00,,,False,False,False,False,False,False,,", , , , , , , , , ",Under Review,2025-12-01T03:05:27.925893,preseason
9,Eloise Lundy Recreation Center,Eloise Lundy Recreation Center,1,mmcalend@asu.edu,1229 Reverend CBT Smith St,Dallas,43,75203,"1229 Reverend CBT Smith St, Dallas, 43 75203",32.755564,-96.805921,True,True,12:00,20:00,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday: 12:00 pm - 8:00 pm","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,False,False,False,False,False,False,,"2025-11-25, 2025-11-26, 2025-11-27, 2025-11-28, 2025-11-29, 2025-11-30, 2025-12-01, 2025-12-02, 2025-12-03, 2025-12-04",Accepted,2025-12-01T03:05:30.417632,in-season update
10,Holmes Aquatic Center,Holmes Aquatic Center,3,mmcalend@asu.edu,3501 Lovers Ln,Dallas,43,75205,"3501 Lovers Ln, Dallas, 43 75205",32.850405,-96.792151,True,True,,,,"Monday, Wednesday, Friday, Saturday, Sunday",,,,,,,,False,False,False,False,False,False,,"2025-11-30, , , , , , , , , ",Accepted,2025-12-01T03:05:27.925893,preseason
